""	"Blovice"	"Bohnice"	"Borek"	"Bozkov"	"Cekanice"	"Cerveny Hradek"	"Cimice"	"Cizice"	"Dobriv"	"Drahkov"	"Chlum"	"Chocenice"	"Chocenicka Lhota"	"Chocenicky ujezd"	"Chotusice"	"Chrast"	"Chvalenice"	"Kadan"	"Klabava"	"Kornatice"	"Kozel"	"Krimice"	"Kysice"	"Letkov"	"Lhuta"	"Litice"	"Litohlavy"	"Lobzy"	"Losina"	"Mesno"	"Milinov"	"Mirosov"	"Mokrouse"	"Nebilovy"	"Nepomuk"	"Netunice"	"Nevid"	"Nezbavetice"	"Nezvestice"	"Olesna"	"Osek"	"Plzen"	"Plzenec"	"Porici"	"Predenice"	"Prestice"	"Radnice"	"Radobycice"	"Rakova"	"Rokycany"	"Sedlec"	"Stahlavice"	"Stahlavy"	"Tymakov"	"Unetice"	"Vesela"	"Vitinka"	"Vrcen"	"Zakava"	"Zdemyslice"	"Zelcany"	"Zinkovy"
"Blovice"	0	88.0201040597874	11.3056589385305	19.3651739219172	33.4149833278143	21.0507141485773	89.2601941231903	13.1401244242211	18.5490972164284	5.60685860931399	5.60297039673778	3.71449669097777	2.95802008021207	4.72081910303661	139.358681772316	24.3171065311515	8.80671883582112	91.0360457866992	19.6244370860724	9.75127256812594	10.4610333683777	26.3875264815883	20.0332401680827	17.9793837985888	13.9230539081208	20.7667590058837	21.1222758273244	20.7165486143252	12.3377830859098	10.4158735326076	7.5083836685353	14.8229955098316	15.4105217196343	10.148987123661	10.5073457499658	9.25436098911285	12.8539363643861	9.89928979269536	7.2524831368118	7.36889563305395	22.614275037211	22.4199220921814	14.3372416779219	6.04051217160604	11.8451462502112	15.1801442542113	31.4431989357204	17.4047238681428	13.983533473562	18.7874950302347	13.6408014501539	9.32033645963049	11.3203816696494	15.983061612664	5.3772038618795	13.7999200844388	23.3924806993076	9.4268270064416	5.9514369182893	3.73610433713756	7.24212515654944	11.1499773445257
"Bohnice"	88.0201040597874	0	88.2214849587202	82.7728314806371	92.8167693750661	80.1910477644807	1.2518710626507	90.785809562898	69.9132815483263	93.2519866961406	89.261453668795	91.5693300249868	90.7206261820918	92.0231759239909	73.0308880993508	76.0703037153519	86.7048748049328	85.6837508417022	75.6622584431754	79.2014855723276	81.7335619204693	89.7418304830083	78.8521408945453	81.5233901062388	79.7038288087463	89.6358788931399	73.3434505623586	83.6535926701921	86.4585131971634	77.8665244905965	81.791273924562	73.531488212318	79.0051478575164	90.2283755648766	93.6752828684601	91.1139858746318	76.5178160292482	85.8045732920259	84.4834480629702	84.9869303872096	71.0525758000543	85.7741182515283	83.1115192014439	81.9810676146425	92.4614693785298	99.5919662945981	65.5821102958855	87.6122557009879	76.7527716493994	73.1253272707887	82.0386963984377	82.7500092761645	82.8579227320266	79.5968621893904	91.312262780376	75.9721946732702	71.9551741769297	90.1216407894676	84.6525537559962	86.9598149599536	87.3362061608838	98.2905051145484
"Borek"	11.3056589385305	88.2214849587202	0	9.45515862928861	44.6873774690768	11.9181363418487	89.4732955363856	2.91376647686891	19.2814138757569	10.8559524762128	6.00983423434003	13.0603234936695	10.5694177102102	9.82244427584967	144.407953216009	16.2163658698434	2.92850100593303	81.4625560972421	13.4438603955931	11.1541132345406	6.96224284127009	15.0959139142773	11.7908999200177	8.9418336126306	8.52817976110661	9.46169989493396	15.6654235308351	10.3519288464294	2.05287275210317	13.2772672138948	9.28970904217212	16.3604674254269	9.39197060899105	2.52380269786355	21.2082386082143	4.00720530306002	12.6499720452357	2.84675317604381	6.03745510288071	5.4525323616397	17.8342318696202	11.4840537976667	5.69241878081375	12.6839286645327	4.28127362707623	11.5797422668859	25.7902607087401	6.19184494750969	11.6908470192492	15.1408993733389	6.33136672746383	6.37359015802532	5.43571011967954	9.08547946674246	7.89272526563423	12.816217519046	17.6405535513122	20.6913663007057	7.13520564383988	7.7573080175763	4.14289513378174	19.1409020178627
"Bozkov"	19.3651739219172	82.7728314806371	9.45515862928861	0	51.6806948650599	2.8321672502922	84.020702728338	10.3177312866986	18.0923454093699	20.1768615075221	14.9748510184687	21.9118001455083	19.4577158542595	19.0435332101359	142.435394964184	7.44067614224605	10.8234963659907	72.1177741109437	7.54131856368152	14.1242372703617	9.93556321954122	9.71405145297146	3.93831818003521	2.10298396398532	7.58376384608882	6.98035848848162	9.70515729160455	1.71822878011466	7.58725020846831	16.0597550968703	13.9567938215504	16.7889595655837	6.71870571128015	11.9158593750593	29.8089467624956	13.4377868792951	13.3896295929003	9.56897425087401	12.2665699351183	12.0348357273937	11.936540447922	4.4264455823251	5.08355170892238	18.1359037430301	12.878715930427	19.7382059699633	17.9929260458133	5.14053500991854	11.1639253198451	11.3136060911556	6.17579244024917	10.6456749421098	8.34325964101093	5.56887972617633	17.1583853178733	12.7768872538823	10.8238845226901	28.6534168217809	13.6730061312195	15.641718141621	12.4678297813089	28.4763724089208
"Cekanice"	33.4149833278143	92.8167693750661	44.6873774690768	51.6806948650599	0	52.614740409127	93.913600694029	46.5105280927848	40.6035958746001	36.0732581049443	38.9639500281907	32.6460749941945	34.853289827185	36.3441020796413	126.269314808452	54.5013850853675	42.0182340221139	119.878640032945	49.0161922460864	38.0778096814094	41.7661479999869	59.6846654471379	51.0498713321614	49.8888986229463	44.6406885319995	54.1388962955956	49.3879957094937	53.2520902570701	45.495591546925	36.6345414984156	37.7464737579837	38.5505776964471	45.9830808753399	43.5069801130838	25.1483635947087	42.444543906693	40.0710183155363	42.916909720073	39.6537083353354	40.0229288541112	49.691173666855	55.3445672039593	46.6540891331358	33.5761177863817	44.9174202661344	45.5524692779933	57.3592597470956	50.6642239373065	42.3653640192339	46.0474707668661	45.5136868042154	41.0456006270539	43.359109208974	46.9558160444157	37.994185093969	41.1007209166341	51.3254916353346	24.2893323156602	38.2524548281	36.9461947620725	40.5629824481799	31.0396855602151
"Cerveny Hradek"	21.0507141485773	80.1910477644807	11.9181363418487	2.8321672502922	52.614740409127	0	81.4373778055855	13.0480695867688	17.0407651839272	22.4019778312354	17.0938941139984	23.8572328390951	21.4549331246095	21.2124256638664	140.49125798197	4.60887780589535	12.8828443662599	70.0694464676901	5.77642310770372	14.6184935932035	10.9891615560568	10.9960392654569	2.01266985120397	3.11921873741258	7.98219448611741	9.44492781414312	7.62613012768492	3.47398302282624	9.94110383770781	16.3415021997387	14.9422010161909	16.3104198480414	6.71760927771339	14.4268964878114	31.5560628548321	15.9253414237435	13.2865853243639	11.5698551012599	13.8125149067347	13.6876886888664	9.71774464930874	5.9363639111703	6.81590496597214	19.0692412053044	15.5674464377956	22.523972069535	15.1988549626056	7.96916157652249	10.9278828280349	9.88301588205917	7.42726009116615	11.9177383503357	9.74683260299583	5.6749097615381	19.3759972456538	12.4931068517086	8.36200020123747	30.1410493931195	15.1742435708919	17.3934006790428	14.4964044561875	30.6688177517887
"Cimice"	89.2601941231903	1.2518710626507	89.4732955363856	84.020702728338	93.913600694029	81.4373778055855	0	92.0376615328284	71.1605079954735	94.4955534622382	90.509702939277	92.8072449079173	91.9628990542635	93.2675190732171	72.2761521548911	77.3131270241161	87.9558292252628	86.4029691407039	76.9126625539348	80.4485422650673	82.984464072053	90.9781064564837	80.1004589780506	82.7730448777371	80.9556853835737	90.8821408606126	74.5937163723602	84.8995101470237	87.7103814245784	79.1109202571801	83.0382811751644	74.7772890958332	80.256933769834	91.4797948187776	94.8929519615096	92.3648275024162	77.76681198867	87.0559883223444	85.7327280386534	86.236536806767	72.3028433043135	87.0172366734134	84.3631582887349	83.2209011104583	93.7131729733412	100.843152734884	66.8196886094533	88.8618906526012	78.0037783265081	74.3771854129493	83.2905443009177	84.0004503524992	84.1095415947428	80.8483725078967	92.5590419952361	77.2221385118971	73.2035115306113	91.3376745462197	85.9003387729695	88.2058466413604	88.586141640122	99.5212943553264
"Cizice"	13.1401244242211	90.785809562898	2.91376647686891	10.3177312866986	46.5105280927848	13.0480695867688	92.0376615328284	0	22.1342143765985	11.4478459903349	7.55079327525538	14.2333864872928	11.8184700815164	10.6705761456197	147.311112887207	17.5762091532603	5.65364393963748	81.5503070531558	15.5425266691763	14.0589081784727	9.85416134604745	13.8842470635196	13.3367295287634	10.3775795856967	11.1172983283036	8.17864205833923	17.8333247950549	10.7760572016738	4.33787357717089	16.1723397715099	12.1258072020946	19.2643490531605	11.792337162255	3.00373047348057	22.3939042372455	4.23186514926794	15.5400533108478	5.7590263593085	8.81474528664433	8.20889434584166	20.0687224145474	11.2038026689188	7.76780849254087	15.3162628240451	2.62309721371828	9.54915414572467	27.6380972177705	5.81493387653936	14.4852652130337	17.6606623570881	8.74725060491805	9.28706272333364	8.23724248504106	11.3005141060333	8.78917479707472	15.6693992385178	19.6674929640171	22.2995124536157	9.78315463731011	9.90529621127683	6.47680999665723	19.4719623137068
"Dobriv"	18.5490972164284	69.9132815483263	19.2814138757569	18.0923454093699	40.6035958746001	17.0407651839272	71.1605079954735	22.1342143765985	0	23.4565131408412	19.3653329710209	22.244551929734	21.0242422149253	22.1902845557208	125.324563420929	16.3598082510785	17.2089517151677	79.2814853476166	11.4182462367586	9.28886054912804	12.348852696266	27.7676257991476	15.028100062013	16.0488938244482	11.5489948050469	24.4261940109055	10.4534915100392	19.7197586677511	17.9352798874184	8.13652530368633	11.8788754274128	3.72610750613303	11.6796295532474	20.8642039064101	26.6376206493959	21.5175440278257	6.74312440954666	16.5511079121314	14.6689069894366	15.2097040014709	9.78487885419128	22.4813384276992	15.4862608534224	12.7149442046326	23.2487664197529	30.0143732885689	16.7557857452563	21.1096838369332	7.73998872793586	7.28723998391741	14.023651357002	13.1710841731458	13.9044227385201	12.7445560031806	21.4012548487459	6.46598257864988	11.7090275419024	23.6345286841476	14.7453939180723	17.0657413378225	17.5896542736219	29.5163629619441
"Drahkov"	5.60685860931399	93.2519866961406	10.8559524762128	20.1768615075221	36.0732581049443	22.4019778312354	94.4955534622382	11.4478459903349	23.4565131408412	0	5.37053536597262	3.60117980412446	2.65605975795179	1.33209821455552	144.941577860745	26.3205361263573	9.55838006432885	92.2824439975013	22.3751712390492	14.2492329900935	13.3079650622186	25.332039380139	21.8514984515749	19.2971706371515	16.5922985074066	19.6243585891959	24.2250244978446	21.1899165941452	12.5927483517782	15.3934123042116	11.7036654048086	19.7687171642961	17.9743610724572	8.69968938182232	11.199780940924	7.25047166755906	17.2118547133845	10.8881222013057	9.87553156691072	9.62499698492518	26.0256959321875	22.2779306958924	15.6433617151483	11.4617910806132	9.27324303445035	10.1845624485631	34.7059406562384	16.877207019676	17.7865385793697	22.4528842549105	15.4830774652916	12.0749343120534	13.3745158185711	18.2245933762236	3.02640967198845	18.0039377210879	26.4514111208606	11.9139661975944	9.13241261574447	6.51356807392785	8.01922461850909	8.30122422404218
