"original"	"new"
" "	NA
"-20"	NA
"+ a. 1743 Stahla"	"Stahlavy"
"+ po 1819"	NA
"+ po 1838"	NA
"1803"	NA
"a. 1732"	NA
"a.1808nedo"	NA
"asi 1795-1800"	NA
"Aunetice"	"Unetice"
"Aunetice-hajovna Hlu"	"Unetice"
"Bazantnice"	"Stahlavy"
"Blovice"	"Blovice"
"Bohnice"	"Bohnice"
"Borek"	"Borek"
"Borek Nebi"	"Borek"
"Borek Nebilovsky"	"Borek"
"Bozkov"	"Bozkov"
"cca 1856"	NA
"Cekanice"	"Cekanice"
"Cerveny Hradek"	"Cerveny Hradek"
"Cimice"	"Cimice"
"Cimice (Pr"	"Cimice"
"Cizice"	"Cizice"
"Dobriv"	"Dobriv"
"Drahkov"	"Drahkov"
"Drahkov, kocen.p"	"Drahkov"
"Hajek u Stahlavic"	"Stahlavice"
"Hradiste (Blovic"	"Blovice"
"Chlum-Sec"	"Chlum"
"Chocenice"	"Chocenice"
"Chocenicka Lhota"	"Chocenicka Lhota"
"Chocenicky"	"Chocenicky ujezd"
"Chotusice,okr.K."	"Chotusice"
"Chrast"	"Chrast"
"Chvalenice"	"Chvalenice"
"Kadan"	"Kadan"
"Klabava"	"Klabava"
"Kornatice"	"Kornatice"
"Kozel"	"Kozel"
"Krimice"	"Krimice"
"Kysice"	"Kysice"
"L chudobin"	"Lhuta"
"Letkov"	"Letkov"
"Lhuta"	"Lhuta"
"Lhuta /pohodnice"	"Lhuta"
"Lhuta poho"	"Lhuta"
"Litice"	"Litice"
"Litohlavy"	"Litohlavy"
"Lobzy"	"Lobzy"
"Lopacka hut"	"Kozel"
"Losina"	"Losina"
"Mesno"	"Mesno"
"Milinov"	"Milinov"
"Milinov??"	"Milinov"
"Mirosov"	"Mirosov"
"Mokrouse"	"Mokrouse"
"Mokrouse??"	"Mokrouse"
"Neb. Borek"	"Borek"
"Nebil.Bore"	"Borek"
"Nebilovsky Borek"	"Borek"
"Nebilovy"	"Nebilovy"
"Nebylovy"	"Nebilovy"
"Nepomuk"	"Nepomuk"
"Netunice"	"Netunice"
"Nevid"	"Nevid"
"Nevid?"	"Nevid"
"Nezbav?tic"	"Nezbavetice"
"Nezbavetic"	"Nezbavetice"
"Nezbavetice"	"Nezbavetice"
"Nezvestice"	"Nezvestice"
"Osek"	"Osek"
"Plzen"	"Plzen"
"Plzenec"	"Plzenec"
"Plzenec / mlyn"	"Plzenec"
"Plzenec /mlyn"	"Plzenec"
"Plzenec ?"	"Plzenec"
"Plzenec?"	"Plzenec"
"Predenice"	"Predenice"
"Prestice"	"Prestice"
"Radnice"	"Radnice"
"Radobycice"	"Radobycice"
"Rakova"	"Rakova"
"Roky-Patek"	"Rokycany"
"Rokycany"	"Rokycany"
"Rokycany-P"	"Rokycany"
"Rokycany/P"	"Rokycany"
"Rokycany/Patek"	"Rokycany"
"Sedlec"	"Sedlec"
"Sedlec /hut"	"Sedlec"
"Sedlec?"	"Sedlec"
"Selcany"	"Zelcany"
"Sp. Porici"	"Porici"
"Spalene Po"	"Porici"
"Spalene Porici"	"Porici"
"Stahlavice"	"Stahlavice"
"Stahlavicka hut"	"Stahlavice"
"Stahlavska hut"	"Stahlavy"
"Stahlavy"	"Stahlavy"
"Stahlavy (ice)"	"Stahlavice"
"Stahlavy / hut"	"Stahlavy"
"Stahlavy /bazantnice"	"Stahlavy"
"Stahlavy /hut"	"Stahlavy"
"Sten. Borek"	"Borek"
"Stenovicky Borek"	"Borek"
"Tymakov"	"Tymakov"
"Unetice"	"Unetice"
"v Ledkove?"	"Letkov"
"Vesela"	"Vesela"
"Vitinka"	"Vitinka"
"Volesna"	"Olesna"
"Vrcen"	"Vrcen"
"Zakava"	"Zakava"
"Zdemyslice"	"Zdemyslice"
"Zelcany"	"Zelcany"
"Zinkovy"	"Zinkovy"
NA	NA
