"code"	"father"	"mother"	"sex"	"famid"	"missing"
"4"	NA	NA	"F"	0	0
"5"	NA	NA	"F"	0	0
"6"	NA	NA	"F"	0	0
"7"	NA	NA	NA	0	0
"8"	NA	NA	"M"	0	0
"9"	NA	NA	"F"	0	0
"10"	NA	NA	"M"	0	0
"11"	NA	NA	NA	0	0
"12"	NA	NA	"M"	0	0
"13"	NA	NA	NA	0	0
"14"	NA	NA	"F"	0	0
"15"	NA	NA	"M"	0	0
"1"	NA	NA	"M"	0	0
"2"	NA	NA	"M"	0	0
"3"	NA	NA	"F"	0	0
"16"	NA	NA	"F"	0	0
"17"	NA	NA	"M"	0	0
"20"	NA	NA	"F"	0	0
"21"	NA	NA	"F"	0	0
"22"	NA	NA	"F"	0	0
"23"	NA	NA	"F"	0	0
"24"	NA	NA	"F"	0	0
"25"	NA	NA	"F"	0	0
"26"	NA	NA	"F"	0	0
"27"	NA	NA	"F"	1	0
"28"	NA	NA	"F"	0	0
"29"	NA	NA	"F"	1	0
"30"	NA	NA	"F"	0	0
"31"	NA	NA	"F"	0	0
"32"	NA	NA	"F"	2	0
"33"	NA	NA	"F"	3	0
"34"	NA	NA	"F"	0	0
"35"	NA	NA	"F"	0	0
"36"	NA	NA	"F"	0	0
"37"	NA	NA	"F"	0	0
"18"	NA	NA	"F"	0	0
"19"	NA	NA	"F"	0	0
"38"	NA	NA	"F"	0	0
"39"	NA	NA	"F"	0	0
"50"	NA	NA	"F"	0	0
"51"	NA	NA	"F"	0	0
"52"	NA	NA	"F"	0	0
"53"	NA	NA	"F"	0	0
"54"	NA	NA	"F"	0	0
"55"	NA	NA	"F"	0	0
"56"	NA	NA	"F"	0	0
"57"	NA	NA	"F"	0	0
"58"	NA	NA	"F"	0	0
"59"	NA	NA	"F"	0	0
"60"	NA	NA	"F"	1	0
"61"	NA	NA	"F"	0	0
"62"	NA	NA	"F"	0	0
"63"	NA	NA	"F"	0	0
"15742"	NA	NA	"F"	0	0
"64"	NA	NA	"F"	0	0
"65"	NA	NA	"F"	0	0
"66"	NA	NA	"F"	0	0
"67"	NA	NA	"F"	0	0
"68"	NA	NA	"F"	0	0
"69"	NA	NA	"F"	0	0
"70"	NA	NA	"F"	0	0
"71"	NA	NA	"F"	0	0
